time,chain,symbol,address,pair,verdict,reasons,price,liq_usd,vol24_usd,age_h,fdv,buys_h1,sells_h1,h1,h6,h24,sources
2026-09-26 01:05,ethereum,VIBE,0xd34a99bc0f67ae1bbd63c660e6d0b0dd03e263b7,0xb07d640fd9e2eb9dc81b953c8e4fd006bdfeaf276010fb5418eb763ca15abfb3,REJECT,no dexscreener pair,8.68404658400986,3838537,3294380,1397.5,27289724.9748438,9,13,-0.013349999999999999,0.00223,-0.07926,ds
2026-09-26 01:10,ethereum,BOLD,0x6440f144b7e50d6a8439336510312d2f54beb01d,0xefc6516323fbd28e80b85a497b65a86243a54b3e,REJECT,no dexscreener pair,0.997105348861952,10809484,630637,11867.3,35645403.7169721,2,4,0.00136,0.00057,0.00127,ds
2026-09-26 01:15,base,WBTC,0x0555e30da8f98308edb960aa94c0db47230d2b9c,0xd960b78f53e8a346c577f2c7b3f0a2394e73afb9,REJECT,no dexscreener pair,83664.2966664484,316271,383646,7755.2,5134746.76825597,8,5,-0.00664,-0.00565,-0.01489,ds
2026-09-26 01:20,solana,ANTFUN,CWZ6BsdnjkDVTGkmL6bGbJXXig6ceef12KvyGQW14cMt,54Vp27uLaw4wNLo5n7r4fcC6zLamoQc28xBARjss4EUJ,REJECT,lp holders unknown,0.01277,14650108,1697276,1866.6,127782145.0,666,378,,-0.022099999999999998,-0.0499,ds+goplus
2026-09-26 01:20,ethereum,KBTC,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,0x64869c8d4b7c5a6a2f102c9fceea7f7de846b672,REJECT,no dexscreener pair,83422.7573471618,38498416,4746903,3407.6,585042283.941779,14,5,-0.00247,0.00315,-0.016220000000000002,ds
2026-09-26 01:20,ethereum,SEND,0x47accd13264d8f954105256faac8376ce6a55999,0xfd1c4559ad314e035e2440d88574ce44ff10ab05cfc90e4c8591b2fae7c73a6f,REJECT,no dexscreener pair,0.00514888767341573,670864,1981536,365.6,5148887.673,53,42,0.08861000000000001,0.29993,-0.33765999999999996,ds
2026-09-26 01:25,base,METAC,0xb2000000000000000000008bc8786b856e61707c,0xeaf57753bc382e0324a1d43f72e7027705a2273e,REJECT,no dexscreener pair,743.381418362621,2109735,9958855,1044.4,3052576.68300685,42,127,-0.006770000000000001,-0.008409999999999999,-0.04954,ds
2026-09-26 01:25,ethereum,RLB,0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,0x33676385160f9d8f03a0db2821029882f7c79e93,REJECT,no dexscreener pair,0.0755892669687912,2523888,341282,28444.9,118385089.692863,24,12,-0.04779,-0.08395,-0.09189,ds
2026-09-26 01:45,base,AAPL,0xb200000000000000000000c2e324d24d7eecd1fb,0xa3b1e3f9747065e2073722ff4c9027d3ea4994f0,REJECT,no dexscreener pair,342.373784745965,1555633,5333994,1048.2,2384833.69344212,23,172,0.00623,0.00751,0.02291,ds
2026-09-26 01:50,solana,ELON,GY9mZfyPpxXxBXBxS2hB2XjhP3kfUsywTvgveozxpump,6tuhHpYSinf41V39KW3JmpVUaxehcabCbHZqqFnwR6xf,REJECT,lp holders unknown,0.00309,251089,1483841,246.4,2867973.0,2432,1923,0.8901,3.23,2.97,ds+goplus
