time,chain,addr,pair,sym,src,price,liq,vol1,vol6,vol24,fdv,age_h,b1,s1,b24,s24,h1,h6,h24,boosts
2026-09-26 14:14,base,0x3ec2156d4c0a9cbdab4a016633b7bcf6a8d68ea2,0x5116773e18a9c7bb03ebb961b38678e45e238923,DRB,geckoterminal,0.000219894551349152,1680737.838,,,613239.254320745,21700229.6695565,13636.25759888889,16,6,1746,623,0.01551,0.00483,0.18419,
2026-09-26 14:14,base,0xacfe6019ed1a7dc6f7b508c02d1b04ec88cc21bf,0xa135b59fe221c0c8d441294f97f96fbc37bc9fbe,VVV,geckoterminal,29.7859017913568,2097268.8312,,,2276279.12760819,2414201767.45421,3921.4864877777777,68,40,774,1168,0.00134,0.0066300000000000005,-0.025179999999999998,
2026-09-26 14:14,base,0x853a7c99227499dba9db8c3a02aa691afdebf841,0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,PLAY,geckoterminal,0.0317016774305476,424211.6123,,,933731.950196971,126806709.702327,3484.3203766666666,357,289,8766,8021,-0.00039,0.00242,-0.026699999999999998,
2026-09-26 14:14,base,0xfb31f85a8367210b2e4ed2360d2da9dc2d2ccc95,0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31,EDEL,geckoterminal,0.0304012655584834,1163897.8146,,,347310.431086831,30401263.7150049,7629.224265555556,193,119,2144,1405,0.005600000000000001,0.03047,0.030139999999999997,
2026-09-26 14:14,solana,BdzaE3T7uU59pBVDBHZVZh3yWrrpo4oPrXdv4nPDpump,DGvB8KyD79wFBJ7Kr7mW54qSfi7Yk3UrhJkcnTSd6frb,JIANCO,dexscreener,8.406e-05,43974.41,3095.39,42384.78,103052.77,78889.0,14.126253333333333,97,47,3739,951,-0.0702,1.1,0.4514,500.0
2026-09-26 14:14,solana,8Vte25yt28L8BfLXm8DrzjSYEyaKX8yry6hRKRmX7FGd,HJHA6AFiUQVR4nUScs7ZAR775427PJtVFqj3kmLgP9WL,UPTOBER,dexscreener,0.0002352,47553.57,22258.24,128799.9,551908.07,228760.0,94.54958666666667,330,190,14094,6733,0.1974,0.1362,-0.2483,200.0
2026-09-26 14:14,solana,EGRv76STtVdNNwKdyMkQLQquYggcMuToXy92qS9pump,EcPhfKmJkQ7GTbtvcrnbuEwN331f9aAhoxyts6HhUCgt,GHOSTGUY,dexscreener,8.163e-06,6556.08,375.35,1194.49,695046.44,7835.0,17.44069777777778,11,8,20908,30356,0.0039000000000000003,-0.12480000000000001,-0.8379000000000001,100.0
2026-09-26 14:14,solana,9EwEYhqzRHmE87ypWKUU1zZKP8uMeGdunmJ4etTmpump,6BP57xemygynet3rh9zJLQ6Fig7hRMtNBGkUJDdPsCKx,JEANWORK,dexscreener,2.762e-06,3281.69,0.37,0.4,2687245.36,2727.0,21.60903111111111,1,1,31925,17937,0.0029,-0.0076,-0.9725,100.0
2026-09-26 14:14,solana,bGpXrniA1kzqubTCCexxR4Zh4Hrx8eoYY1Sqtt3pump,GVndqmxuj9MPE8pBCzZxkkogEgt5zPSsjEFiZ8A8pVzx,SJP,dexscreener,0.0005437,70917.56,129332.31,632179.16,1745762.31,535666.0,16.061531111111112,3169,1611,31002,18087,-0.1583,0.9492,5.78,100.0
2026-09-26 14:14,solana,CmTFnmtW19nCEz5QGmV7ojqhVKaXJVsPwR6t4QvCGiBd,DtN6LWpZy4dsiyMEN1on3xUrUr2pbEm9ELsX71r8qz3y,POOCOIN,dexscreener,2.618e-06,4783.45,0.0,203.0,33444.29,2618.0,24.288475555555557,0,0,18029,15223,,-0.0421,-0.9709,100.0
